model,src_radical,tgt_radical,n_src_chars,top10_target_rate,baseline_rate,lift
xlm-roberta-base,15,46,26,0.046153846153846156,0.012686330478908976,3.638076923076923
xlm-roberta-base,15,50,26,0.011538461538461539,0.006977481763399937,1.6536713286713287
xlm-roberta-base,15,53,26,0.046153846153846156,0.0074532191563590235,6.192471358428805
xlm-roberta-base,15,57,26,0.023076923076923078,0.004123057405645417,5.597041420118344
xlm-roberta-base,15,60,26,0.007692307692307693,0.006184586108468126,1.2437869822485208
xlm-roberta-base,15,61,26,0.09615384615384616,0.03330161750713606,2.8873626373626373
xlm-roberta-base,15,62,26,0.04230769230769231,0.003805899143672693,11.116346153846154
xlm-roberta-base,15,64,26,0.12307692307692308,0.05090390104662226,2.417828900071891
xlm-roberta-base,15,66,26,0.03076923076923077,0.005391690453536315,5.706787330316742
xlm-roberta-base,15,72,26,0.08461538461538462,0.01569933396764986,5.389743589743589
xlm-roberta-base,15,75,26,0.08846153846153847,0.047573739295908656,1.8594615384615387
xlm-roberta-base,15,76,26,0.015384615384615385,0.003171582619727244,4.850769230769231
xlm-roberta-base,15,78,26,0.015384615384615385,0.003171582619727244,4.850769230769231
xlm-roberta-base,15,85,26,0.20384615384615384,0.06454170631144941,3.1583632583632584
xlm-roberta-base,15,86,26,0.13076923076923078,0.021408182683158895,6.108376068376069
xlm-roberta-base,15,93,26,0.038461538461538464,0.003805899143672693,10.105769230769232
xlm-roberta-base,15,94,26,0.07692307692307693,0.010466222645099905,7.34965034965035
xlm-roberta-base,15,96,26,0.09230769230769231,0.01665080875356803,5.543736263736264
xlm-roberta-base,15,102,26,0.03076923076923077,0.005550269584522677,5.543736263736264
xlm-roberta-base,15,104,26,0.13846153846153847,0.013954963526799874,9.922027972027973
xlm-roberta-base,15,108,26,0.04230769230769231,0.004123057405645417,10.261242603550297
xlm-roberta-base,15,109,26,0.057692307692307696,0.012210593085949888,4.724775224775225
xlm-roberta-base,15,112,26,0.08461538461538462,0.013320647002854425,6.352197802197803
xlm-roberta-base,15,113,26,0.057692307692307696,0.007136060894386299,8.084615384615384
xlm-roberta-base,15,115,26,0.038461538461538464,0.009039010466222646,4.255060728744939
xlm-roberta-base,15,116,26,0.046153846153846156,0.005550269584522677,8.315604395604396
xlm-roberta-base,15,118,26,0.038461538461538464,0.01585791309863622,2.4253846153846155
xlm-roberta-base,15,119,26,0.04230769230769231,0.006660323501427212,6.352197802197803
xlm-roberta-base,15,120,26,0.07307692307692308,0.03679035838883603,1.9863063660477456
xlm-roberta-base,15,124,26,0.023076923076923078,0.0034887408816999684,6.614685314685315
xlm-roberta-base,15,128,26,0.038461538461538464,0.004440215667618141,8.662087912087912
xlm-roberta-base,15,130,26,0.11153846153846154,0.022042499207104344,5.060154952960709
xlm-roberta-base,15,140,26,0.13846153846153847,0.04773231842689502,2.900792231024789
xlm-roberta-base,15,142,26,0.1,0.018395179194418014,5.436206896551725
xlm-roberta-base,15,145,26,0.09230769230769231,0.01157627656200444,7.97386722866175
xlm-roberta-base,15,147,26,0.03461538461538462,0.0036473200126863306,9.490635451505018
xlm-roberta-base,15,149,26,0.09615384615384616,0.03853472882968601,2.4952516619183287
xlm-roberta-base,15,154,26,0.07692307692307693,0.017443704408499842,4.40979020979021
xlm-roberta-base,15,157,26,0.057692307692307696,0.012210593085949888,4.724775224775225
xlm-roberta-base,15,159,26,0.046153846153846156,0.010624801776086268,4.343972445464983
xlm-roberta-base,15,162,26,0.03461538461538462,0.019029495718363463,1.8190384615384616
xlm-roberta-base,15,163,26,0.023076923076923078,0.008563273073263558,2.694871794871795
xlm-roberta-base,15,164,26,0.046153846153846156,0.007294640025372661,6.327090301003345
xlm-roberta-base,15,167,26,0.1423076923076923,0.03758325404376784,3.7864654333008763
xlm-roberta-base,15,169,26,0.06538461538461539,0.010624801776086268,6.153960964408726
xlm-roberta-base,15,170,26,0.015384615384615385,0.010624801776086268,1.4479908151549943
xlm-roberta-base,15,172,26,0.007692307692307693,0.004123057405645417,1.8656804733727812
xlm-roberta-base,15,173,26,0.05,0.0060260069774817635,8.297368421052632
xlm-roberta-base,15,181,26,0.04230769230769231,0.012210593085949888,3.4648351648351654
xlm-roberta-base,15,184,26,0.06923076923076923,0.010466222645099905,6.614685314685315
