model,layer,pool,iso,intra_mean,inter_mean,delta,cohens_d,p_welch,p_perm,ci_lower,ci_upper,rsa_rho,rsa_p,n_intra,n_inter
cl-tohoku/bert-base-japanese-char-v3,6,char,0,0.6734886169433594,0.6706987619400024,0.0027898550033569336,0.020299705916778432,0.4026406118302238,0.2087912087912088,-0.0038579434156417844,0.009203980863094327,0.015542563493542908,4.8521760888155126e-107,3400,3400
cl-tohoku/bert-base-japanese-char-v3,6,char,1,0.12657596170902252,0.111445851624012,0.015130110085010529,0.044577016776883104,0.06611225190867043,0.03496503496503497,-0.0015299974009394632,0.0322661280632019,0.02975629293879879,0.0,3400,3400
cl-tohoku/bert-base-japanese-char-v3,6,mean,0,0.8132681250572205,0.8117928504943848,0.0014752745628356934,0.01861458811959211,0.4428049209384468,0.23276723276723277,-0.0023622676730155946,0.0051937431097030615,0.023363159010815447,2.4132278882735325e-239,3400,3400
cl-tohoku/bert-base-japanese-char-v3,6,mean,1,0.12652111053466797,0.11144275218248367,0.015078358352184296,0.044430292640926634,0.06700865539524306,0.03596403596403597,-0.0016259914264082898,0.03220954462885856,0.02849168743099419,0.0,3400,3400
cl-tohoku/bert-base-japanese-char-v3,9,char,0,0.7285004258155823,0.7241997718811035,0.00430065393447876,0.03703621402218878,0.1267952748203454,0.06593406593406594,-0.0014325276017189026,0.009811621904373168,0.02347167414700278,1.4903047767932617e-241,3400,3400
cl-tohoku/bert-base-japanese-char-v3,9,char,1,0.12431180477142334,0.10418426245450974,0.020127542316913605,0.058755360010081886,0.015438156096325786,0.007992007992007992,0.003516414016485215,0.03651044759899377,0.024838482492737315,2.948334802448502e-270,3400,3400
cl-tohoku/bert-base-japanese-char-v3,9,mean,0,0.8947179317474365,0.8930317759513855,0.0016861557960510254,0.03752284127191424,0.12188198438853863,0.061938061938061936,-0.0005145326256752014,0.003822652995586395,0.024556421473229093,3.35693515990204e-264,3400,3400
cl-tohoku/bert-base-japanese-char-v3,9,mean,1,0.12424811720848083,0.1042262390255928,0.02002187818288803,0.058467955959722644,0.015948556590555746,0.007992007992007992,0.0034551814198493964,0.036419333331286906,0.021722830072095453,3.41210739441527e-207,3400,3400
cl-tohoku/bert-base-japanese-char-v3,12,char,0,0.654098629951477,0.6492432951927185,0.004855334758758545,0.03462283743241043,0.15347647735952977,0.07492507492507493,-0.0020034000277519225,0.01159956157207489,0.02216556581616452,1.218099603526018e-215,3400,3400
cl-tohoku/bert-base-japanese-char-v3,12,char,1,0.12656526267528534,0.10676482319831848,0.019800439476966858,0.057333586769206774,0.018110478524515628,0.008991008991008992,0.003152531199157238,0.036222703754901886,0.02266773589018099,1.987359528899894e-225,3400,3400
cl-tohoku/bert-base-japanese-char-v3,12,mean,0,0.7711238861083984,0.7683138251304626,0.002810060977935791,0.029441589703949826,0.2248177401732575,0.11688311688311688,-0.001917588710784912,0.007264816761016845,0.025442145014517564,1.8858125558908912e-283,3400,3400
cl-tohoku/bert-base-japanese-char-v3,12,mean,1,0.12142570316791534,0.10052896291017532,0.02089674025774002,0.05758010907397455,0.01761995650260259,0.00999000999000999,0.003770050406455994,0.03808557223528623,0.01861609360852644,1.0512761634454948e-152,3400,3400
BAAI/bge-large-zh-v1.5,0,char,0,0.4781949520111084,0.4641202390193939,0.014074712991714478,0.13695808941431906,1.699166856783738e-08,0.000999000999000999,0.009163059294223785,0.01903599500656128,0.03790588624580687,0.0,3400,3400
BAAI/bge-large-zh-v1.5,0,char,1,0.03761652484536171,-3.27614470734261e-05,0.037649285048246384,0.5430509162429831,2.5629845989912453e-106,0.000999000999000999,0.03453011233359575,0.04099633293226361,0.08033067887970304,0.0,3400,3400
BAAI/bge-large-zh-v1.5,0,mean,0,0.8320480585098267,0.8276717662811279,0.0043762922286987305,0.1244792729821486,2.9386233284002285e-07,0.000999000999000999,0.002709034085273743,0.006063835322856903,0.040590767580170245,0.0,3400,3400
