model,anchor_r1,r1_num,anchor_r2,r2_num,n_trials,top1_target_rate,top10_target_rate,baseline_rate,lift_top10
BAAI/bge-large-zh-v1.5,目,109,口,30,30,0.0,0.35,0.05629559150015858,6.217183098591549
BAAI/bge-large-zh-v1.5,目,109,言,149,30,0.16666666666666666,0.21666666666666667,0.03853472882968601,5.622633744855968
BAAI/bge-large-zh-v1.5,目,109,鸟,196,30,0.9666666666666667,0.5733333333333334,0.010466222645099905,54.77939393939394
BAAI/bge-large-zh-v1.5,目,109,鱼,195,30,1.0,0.6433333333333333,0.008721852204249921,73.7610909090909
BAAI/bge-large-zh-v1.5,目,109,山,46,30,0.3,0.24,0.012686330478908976,18.918
BAAI/bge-large-zh-v1.5,目,109,石,112,30,0.06666666666666667,0.11,0.013320647002854425,8.257857142857143
BAAI/bge-large-zh-v1.5,目,109,田,102,30,0.0,0.01,0.005550269584522677,1.8017142857142858
glyph_only/resnet18,水,85,火,86,30,0.7666666666666667,0.11333333333333333,0.021408182683158895,5.293925925925926
glyph_only/resnet18,水,85,木,75,30,0.3,0.49666666666666665,0.047573739295908656,10.439933333333334
glyph_only/resnet18,水,85,金,167,30,0.0,0.01,0.03758325404376784,0.2660759493670886
glyph_only/resnet18,水,85,心,61,30,0.0,0.0,0.03330161750713606,0.0
glyph_only/resnet18,水,85,口,30,30,0.0,0.25666666666666665,0.05629559150015858,4.559267605633803
glyph_only/resnet18,水,85,言,149,30,0.0,0.0,0.03853472882968601,0.0
glyph_only/resnet18,水,85,鸟,196,30,0.0,0.03666666666666667,0.010466222645099905,3.5033333333333334
glyph_only/resnet18,水,85,鱼,195,30,0.26666666666666666,0.08333333333333333,0.008721852204249921,9.554545454545453
glyph_only/resnet18,水,85,山,46,30,0.0,0.04,0.012686330478908976,3.153
glyph_only/resnet18,水,85,石,112,30,0.0,0.006666666666666667,0.013320647002854425,0.5004761904761905
glyph_only/resnet18,水,85,田,102,30,0.03333333333333333,0.09666666666666666,0.005550269584522677,17.416571428571427
glyph_only/resnet18,水,85,目,109,30,0.0,0.02,0.012210593085949888,1.637922077922078
glyph_only/resnet18,火,86,水,85,30,0.1,0.04666666666666667,0.06454170631144941,0.7230466830466831
glyph_only/resnet18,火,86,木,75,30,0.7,0.6633333333333333,0.047573739295908656,13.943266666666668
glyph_only/resnet18,火,86,金,167,30,0.16666666666666666,0.18333333333333332,0.03758325404376784,4.8780590717299575
glyph_only/resnet18,火,86,心,61,30,0.1,0.3333333333333333,0.03330161750713606,10.00952380952381
